ATL_OR_DR,CAMPAIGN_TYPE,CHANNEL,COST,HOLIDAY_FLAG,LAG_3_HOLIDAY_FLAG,LEAD_3_HOLIDAY_FLAG,SEASON,CHANNEL_ATL_OR_DR,CHANNEL_CAMPAIGN_TYPE,COST_PER_FREE_TRIALS,COST_BY_FREE_TRIALS,LOG_COST,LOG_FREE_TRIALS,LOG_COST_PER_FREE_TRIALS,LOG_COST_BY_FREE_TRIALS
ATL - Above The Line,Title,ooh,15880.14,False,False,False,Spring,ooh_ATL - Above The Line,ooh_Title,0.3543226762282371,711720878.562,9.67288752063756,10.710394129205287,0.3033014594127744,20.38319636942803
ATL - Above The Line,Title,ctv,943.5,False,False,False,Fall,ctv_ATL - Above The Line,ctv_Title,0.0075552294479541,117824647.965,6.850655686941565,11.735119685812826,0.0075268316468567,18.58470805147831
ATL - Above The Line,Title,ctv,5829.43,False,False,False,Fall,ctv_ATL - Above The Line,ctv_Title,0.7816166700410423,43476879.943100005,8.670846033056913,8.917199426954328,0.5775211936982535,17.58773988220489
ATL - Above The Line,Title,print,187.71,False,False,True,Fall,print_ATL - Above The Line,print_Title,0.0048522607952527,7261572.6126,5.2402114451410045,10.563234607409504,0.0048405265210368,15.798107114360697
ATL - Above The Line,Brand,online display,6621.6,True,False,False,Fall,online display_ATL - Above The Line,online display_Brand,0.4595684431889952,95405999.28,8.79824332106997,9.575629110436829,0.378140805168987,18.37365203045741
ATL - Above The Line,Brand,partnership,107861.35,False,False,False,Summer,partnership_ATL - Above The Line,partnership_Brand,2.5417782186048017,4577138453.1765,11.588611156156192,10.655761527847046,1.2646289226641765,22.24433984814433
ATL - Above The Line,Title,partnership,527.18,False,False,False,Summer,partnership_ATL - Above The Line,partnership_Title,0.0124066991186014,22400700.6008,6.26943713470087,10.657084280764394,0.0123303667339102,16.924602837799046
ATL - Above The Line,Brand,tv,805.79,False,False,False,Winter,tv_ATL - Above The Line,tv_Brand,0.0786504132174938,8255487.765899999,6.69306341135773,9.234663160092351,0.0757106423220524,15.926388842051209
ATL - Above The Line,Brand,radio,881.56,False,False,False,Summer,radio_ATL - Above The Line,radio_Brand,0.0789534962867961,9843111.0736,6.7828267751648825,9.32067887686062,0.0759915864471171,16.102282486668646
ATL - Above The Line,Brand,olv,4015.57,False,False,False,Winter,olv_ATL - Above The Line,olv_Brand,0.0871889895611705,184940810.8301,8.29818358357105,10.737633518960529,0.083595456468315,19.035546395798622
ATL - Above The Line,Brand,radio,466.14,False,False,False,Summer,radio_ATL - Above The Line,radio_Brand,0.0165159887696661,13156130.2584,6.146628998609331,10.247947799879524,0.0163810831998126,16.392398463316415
ATL - Above The Line,Title,ctv,6792.99,False,False,False,Fall,ctv_ATL - Above The Line,ctv_Title,0.3071213558390217,150249118.9974,8.823793676832487,10.004204001188793,0.2678272810119275,18.827805274439974
ATL - Above The Line,Title,online display,14644.94,False,True,True,Winter,online display_ATL - Above The Line,online display_Title,0.2745715344740082,781123462.1042,9.591918442930936,10.884412363482047,0.242610070739532,20.476243778670156
ATL - Above The Line,Title,olv,8331.46,False,False,False,Fall,olv_ATL - Above The Line,olv_Title,0.1450681300251291,478487078.5856,9.027914009690324,10.958363186519165,0.1354641374413699,19.986139766581758
ATL - Above The Line,Brand,digital audio,130.48,False,False,False,Winter,digital audio_ATL - Above The Line,digital audio_Brand,0.0080506435332008,2114741.552,4.8788547487960185,9.69328490535472,0.0080184099875076,14.564443638230752
ATL - Above The Line,Title,bvod,19140.95,False,True,False,Fall,bvod_ATL - Above The Line,bvod_Title,1.631908624473322,224507647.921,9.859637540695184,9.369920286798326,0.9677092957150224,19.229420335483777
ATL - Above The Line,Title,ooh,17244.6,False,False,False,Fall,ooh_ATL - Above The Line,ooh_Title,2.217789541101757,134086766.868,9.755312317459223,8.95887193183606,1.1686946459037513,18.71399766976664
ATL - Above The Line,Brand,ooh,14210.62,False,False,False,Fall,ooh_ATL - Above The Line,ooh_Brand,0.498452269752984,405137528.78380007,9.561815218815536,10.258027368710971,0.4044327552506006,19.81973714713976
ATL - Above The Line,Brand,ooh,6224.66,False,False,False,Fall,ooh_ATL - Above The Line,ooh_Brand,0.9410628165394208,41173013.57,8.736434739809136,8.797170659482466,0.6632356666407514,17.533293613557557
ATL - Above The Line,Title,radio,4725.51,False,False,False,Winter,radio_ATL - Above The Line,radio_Title,0.155139079896375,143938231.2633,8.460942365593656,10.324196874928862,0.1442207522190901,18.784894822902103
ATL - Above The Line,Title,radio,20471.14,True,False,False,Winter,radio_ATL - Above The Line,radio_Title,0.2191181323483306,1912518915.7482,9.926820216425073,11.44492634954412,0.1981277550312453,21.37168701472622
ATL - Above The Line,Title,bvod,102259.64,False,False,False,Fall,bvod_ATL - Above The Line,bvod_Title,5.28752313881219,1977680985.672,11.535280127171026,9.869972133198312,1.8385672155482613,21.40519077638752
ATL - Above The Line,Title,cinema,568.51,False,False,False,Fall,cinema_ATL - Above The Line,cinema_Title,0.03530925017763,9153511.2888,6.344776341995586,9.686691314341784,0.034700174529915,16.029648220297023
ATL - Above The Line,Title,online display,22232.84,False,False,False,Fall,online display_ATL - Above The Line,online display_Title,0.1087248705493293,4546330310.3344,10.009370731581646,12.228265355478364,0.1032105897167816,22.237586219511563
ATL - Above The Line,Title,ctv,2718.03,False,False,False,Winter,ctv_ATL - Above The Line,ctv_Title,0.0216880402151512,340634147.09730005,7.908030478039789,11.738664923998591,0.0214562007770805,19.64631957982056
ATL - Above The Line,Launch,bvod,2512.97,False,False,False,Summer,bvod_ATL - Above The Line,bvod_Launch,0.1962567847241204,32177324.365,7.829618455904767,9.45763004511847,0.1791973354296499,17.286772581251412
ATL - Above The Line,Title,partnership,198.31,False,False,False,Spring,partnership_ATL - Above The Line,partnership_Title,0.0062571169933528,6285139.9681,5.294861401574647,10.36389875874705,0.0062376225140492,15.653698829046917
ATL - Above The Line,Title,digital audio,1899.29,False,False,False,Fall,digital audio_ATL - Above The Line,digital audio_Title,0.0495454850190182,72807895.66829999,7.549761785086464,10.554125639140228,0.0483571990430985,18.1033349780028
ATL - Above The Line,Brand,digital audio,524.9,False,False,False,Winter,digital audio_ATL - Above The Line,digital audio_Brand,0.0155219534063427,17750343.838,6.2651110805952985,10.428737247415691,0.0154027201269761,16.691915501189946
ATL - Above The Line,Brand,tv,1374.74,False,False,False,Winter,tv_ATL - Above The Line,tv_Brand,0.0080787250524393,233936673.8356,7.226747047150957,12.044546987281027,0.0080462668499469,19.270561016336995
ATL - Above The Line,Brand,ctv,437.48,False,False,False,Winter,ctv_ATL - Above The Line,ctv_Brand,0.0145393297710623,13163519.4616,6.083314200737861,10.3119621276523,0.0144346471725651,16.39295996036605
DR - Direct Response,Title,youtube,1412.33,False,False,False,Fall,youtube_DR - Direct Response,youtube_Title,0.0403813833853994,49395931.03739999,7.253703901064546,10.462411100929035,0.0395873607234986,17.715378631346365
ATL - Above The Line,Title,youtube,1525.76,False,False,False,Winter,youtube_ATL - Above The Line,youtube_Title,0.0277390836081316,83922872.5248,7.330903121942609,10.91517900557016,0.027361325098119,18.24540876270537
ATL - Above The Line,Brand,ott,3781.7,False,False,False,Winter,ott_ATL - Above The Line,ott_Brand,0.04158610689511,343895015.854,8.23819331934729,11.417929055934708,0.0407446541488713,19.655846985195737
DR - Direct Response,Brand,youtube,172.19,False,False,False,Summer,youtube_DR - Direct Response,youtube_Brand,0.002440525392576,12148775.9112,5.154389257740952,11.164154629671897,0.0024375521470184,16.312739056938838
DR - Direct Response,Title,youtube,233.71,False,True,False,Summer,youtube_DR - Direct Response,youtube_Title,0.004941670902606,11053015.3012,5.458350709533451,10.764153940342188,0.0049295009238372,16.21821391711332
ATL - Above The Line,Title,youtube,6103.08,False,False,False,Winter,youtube_ATL - Above The Line,youtube_Title,1.0570428475179825,35237536.0884,8.716712679038302,8.661246781050274,0.7212694405549861,17.37762246693038
ATL - Above The Line,Brand,display,752.87,False,True,False,Fall,display_ATL - Above The Line,display_Brand,0.0445587243942843,12720589.3931,6.625219939349886,9.734899064004487,0.0435945229273894,16.358732529351016
DR - Direct Response,Title,ott,22089.01,False,False,False,Fall,ott_DR - Direct Response,ott_Title,0.3522283868939016,1385249971.1418,10.002880749107586,11.04632691186707,0.3017538885718973,21.04914644560114
ATL - Above The Line,Title,paid social,4769.05,False,False,False,Winter,paid social_ATL - Above The Line,paid social_Title,0.1345682785062937,169013367.4515,8.470112066007744,10.47561418108472,0.1262522072137369,18.94548837302216
DR - Direct Response,Title,ott,9494.85,False,False,True,Winter,ott_DR - Direct Response,ott_Title,0.1503884502379802,599462102.1750001,9.15861014004006,11.053054328203046,0.1400996681550218,20.21154331638037
ATL - Above The Line,Title,paid social,40522.66,False,False,False,Summer,paid social_ATL - Above The Line,paid social_Title,0.2214332677164494,7415714858.0688,10.609641280048548,12.117256076525068,0.200024978800016,22.726867215046383
