Feature,VIF
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_radio_November,1.080580831961409e+16
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_digital audio_February,1.0801977922848742e+16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_digital audio_February,1.0752504778689424e+16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Launch_tv_August,1.0514328978245576e+16
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_online display_November,1.0481807321891904e+16
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_radio_December,1.0381054804990626e+16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Title_ott_January,1.0190091126298128e+16
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_online display_August,1.0188585943477676e+16
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_digital audio_July,1.0014798373979278e+16
CHANNEL_MONTH_bvod_September,1.0006453519121886e+16
CHANNEL_MONTH_radio_December,9619699966267344.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Launch_cinema_July,9561272820662790.0
CHANNEL_MONTH_tv_June,9516430734399408.0
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_bvod_September,9352538798214030.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_partnership_December,9294268977315204.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_digital audio_November,9288960055083640.0
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_ooh_December,9284759213208724.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_ooh_January,9093003255914618.0
CHANNEL_MONTH_digital audio_July,9077482435301802.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_olv_September,9044167550498934.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_ooh_January,9029862808524996.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Title_app_January,9016756786388962.0
CHANNEL_MONTH_ooh_December,8968785646531133.0
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_cinema_May,8909841936748872.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_ctv_January,8886400042461362.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_olv_October,8801691500658985.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_partnership_May,8799118237877679.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Launch_ooh_July,8734108781989172.0
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_cinema_October,8572745785484357.0
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_online display_June,8561201000019522.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_ctv_January,8502419480929352.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_partnership_December,8470091259461725.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_digital audio_November,8466565849649316.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_print_December,8350246827868073.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_ooh_August,8347220527182950.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_online display_July,8098256409103543.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_bvod_February,8082529331875095.0
CAMPAIGN_TYPE_MONTH_Launch_July,8066493857368694.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_olv_February,8039873988672290.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_youtube_May,8031113237252556.0
CHANNEL_MONTH_online display_June,7880933826318065.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_online display_July,7872957211776493.0
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_bvod_October,7826236636961297.0
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_ooh_February,7809922178274482.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_ctv_March,7694816111131783.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_bvod_February,7665414633056881.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_bvod_January,7518203544418173.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_ooh_March,7448297802987626.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_ooh_November,7422426078919642.0
CHANNEL_MONTH_partnership_September,7385514106935005.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_ctv_March,7256922880960940.0
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_ctv_April,7223041005469348.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_ctv_November,7141586499799540.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_bvod_January,7074422420183452.0
ATL_OR_DR_CAMPAIGN_TYPE_MONTH_ATL - Above The Line_Launch_August,7053563828695791.0
CHANNEL_MONTH_ooh_February,7040818577544739.0
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_online display_December,6948034607590648.0
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Title_youtube_December,6933951011957209.0
